run_accession	sample_alias
ERR4795866	G18001081
ERR4795868	G18000021
ERR4795869	G18000027
ERR4795870	G18000059
ERR4795871	G18000141
ERR4795874	G18000837
ERR4795875	G18000859
ERR4795876	G18000860
ERR2835893	SB5387
ERR2835894	SB5439
ERR2835895	SB5531
ERR2835896	SB5544
ERR2835897	SB5610
ERR2835898	SB6094
ERR2835899	SB6095
ERR2835900	SB5857
ERR3415922	SB5372
ERR3415923	SB5373
ERR3415924	SB5374
ERR3415925	SB5375
ERR3415926	SB5376
ERR3415927	SB5377
ERR3415928	SB5378
ERR3415929	SB5379
ERR3415930	SB5380
ERR3415931	SB5381
ERR3415932	SB5382
ERR3415933	SB5383
ERR3415934	SB5384
ERR3415935	SB5385
ERR3415936	SB5386
ERR3415937	SB5388
ERR3415938	SB5389
ERR3415939	SB5390
ERR3415940	SB5391
ERR3415941	SB5392
ERR3415942	SB5393
ERR3415943	SB5395
ERR3415944	SB5396
ERR3415945	SB5397
ERR3415946	SB5398
ERR3415947	SB5399
ERR3415948	SB5400
ERR3415949	SB5401
ERR3415950	SB5402
ERR3415951	SB5403
ERR3415952	SB5404
ERR3415953	SB5405
ERR3415954	SB5406
ERR3415955	SB5407
ERR3415956	SB5408
ERR3415957	SB5409
ERR3415958	SB5410
ERR3415959	SB5411
ERR3415960	SB5412
ERR3415961	SB5413
ERR3415962	SB5414
ERR3415963	SB5415
ERR3415964	SB5416
ERR3415965	SB5417
ERR3415966	SB5418
ERR3415967	SB5419
ERR3415968	SB5420
ERR3415969	SB5421
ERR3415970	SB5422
ERR3415971	SB5423
ERR3415972	SB5424
ERR3415973	SB5425
ERR3415974	SB5426
ERR3415975	SB5427
ERR3415976	SB5428
ERR3415977	SB5429
ERR3415978	SB5430
ERR3415979	SB5431
ERR3415980	SB5432
ERR3415981	SB5433
ERR3415982	SB5434
ERR3415983	SB5435
ERR3415984	SB5436
ERR3415985	SB5437
ERR3415986	SB5438
ERR3415987	SB5440
ERR3415988	SB5441
ERR3415989	SB5442
ERR3415990	SB5443
ERR3415991	SB5444
ERR3415992	SB5445
ERR3415993	SB5446
ERR3415994	SB5447
ERR3415995	SB5449
ERR3415996	SB5450
ERR3415997	SB5451
ERR3415998	SB5452
ERR3415999	SB5453
ERR3416000	SB5454
ERR3416001	SB5455
ERR3416002	SB5456
ERR3416003	SB5460
ERR3416004	SB5461
ERR3416005	SB5462
ERR3416006	SB5463
ERR3416007	SB5464
ERR3416008	SB5465
ERR3416009	SB5466
ERR3416010	SB5467
ERR3416011	SB5468
ERR3416012	SB5470
ERR3416013	SB5471
ERR3416014	SB5472
ERR3416015	SB5473
ERR3416016	SB5477
ERR3416017	SB5478
ERR3416018	SB5479
ERR3416019	SB5480
ERR3416020	SB5481
ERR3416021	SB5482
ERR3416022	SB5483
ERR3416023	SB5485
ERR3416024	SB5486
ERR3416025	SB5487
ERR3416026	SB5488
ERR3416027	SB5489
ERR3416028	SB5491
ERR3416029	SB5492
ERR3416030	SB5493
ERR3416031	SB5494
ERR3416032	SB5495
ERR3416033	SB5496
ERR3416034	SB5497
ERR3416035	SB5498
ERR3416036	SB5500
ERR3416037	SB5501
ERR3416038	SB5502
ERR3416039	SB5504
ERR3416040	SB5505
ERR3416041	SB5506
ERR3416042	SB5507
ERR3416043	SB5508
ERR3416044	SB5509
ERR3416045	SB5510
ERR3416046	SB5511
ERR3416047	SB5512
ERR3416048	SB5513
ERR3416049	SB5514
ERR3416050	SB5515
ERR3416051	SB5516
ERR3416052	SB5517
ERR3416053	SB5518
ERR3416054	SB5520
ERR3416055	SB5521
ERR3416056	SB5522
ERR3416057	SB5523
ERR3416058	SB5524
ERR3416059	SB5525
ERR3416060	SB5526
ERR3416061	SB5527
ERR3416062	SB5528
ERR3416063	SB5529
ERR3416064	SB5530
ERR3416065	SB5532
ERR3416066	SB5533
ERR3416067	SB5534
ERR3416068	SB5535
ERR3416069	SB5536
ERR3416070	SB5537
ERR3416071	SB5538
ERR3416072	SB5540
ERR3416073	SB5542
ERR3416074	SB5543
ERR3416075	SB5545
ERR3416076	SB5546
ERR3416077	SB5547
ERR3416078	SB5548
ERR3416079	SB5549
ERR3416080	SB5550
ERR3416081	SB5551
ERR3416082	SB5552
ERR3416083	SB5554
ERR3416084	SB5555
ERR3416085	SB5556
ERR3416086	SB5557
ERR3416087	SB5558
ERR3416088	SB5559
ERR3416089	SB5560
ERR3416090	SB5561
ERR3416091	SB5562
ERR3416092	SB5563
ERR3416093	SB5564
ERR3416094	SB5565
ERR3416095	SB5566
ERR3416096	SB5567
ERR3416097	SB5568
ERR3416098	SB5569
ERR3416099	SB5570
ERR3416100	SB5571
ERR3416101	SB5572
ERR3416102	SB5573
ERR3416103	SB5574
ERR3416104	SB5575
ERR3416105	SB5576
ERR3416106	SB5577
ERR3416107	SB5578
ERR3416108	SB5579
ERR3416109	SB5580
ERR3416110	SB5581
ERR3416111	SB5582
ERR3416112	SB5583
ERR3416113	SB5584
ERR3416114	SB5585
ERR3416115	SB5586
ERR3416116	SB5587
ERR3416117	SB5588
ERR3416118	SB5589
ERR3416119	SB5590
ERR3416120	SB5591
ERR3416121	SB5592
ERR3416122	SB5593
ERR3416123	SB5594
ERR3416124	SB5595
ERR3416125	SB5596
ERR3416126	SB5597
ERR3416127	SB5598
ERR3416128	SB5599
ERR3416129	SB5600
ERR3416130	SB5601
ERR3416131	SB5602
ERR3416132	SB5603
ERR3416133	SB5604
ERR3416134	SB5605
ERR3416135	SB5606
ERR3416136	SB5607
ERR3416137	SB5608
ERR3416138	SB5609
ERR3416139	SB5611
ERR3416140	SB5612
ERR3416141	SB5613
ERR3416142	SB5614
ERR3416143	SB5615
ERR3416144	SB5616
ERR3416145	SB5617
ERR3416146	SB5618
ERR3416147	SB5619
ERR3416148	SB5620
ERR3416149	SB5621
ERR3416150	SB5622
ERR3416151	SB5623
ERR3416152	SB5624
ERR3416153	SB5625
ERR3416154	SB5626
ERR3416155	SB5627
ERR3416156	SB5629
ERR3416157	SB5630
ERR3416158	SB5631
ERR3416159	SB5632
ERR3416160	SB5633
ERR3416161	SB5634
ERR3416162	SB5635
ERR3416163	SB5636
ERR3416164	SB5637
ERR3416165	SB5638
ERR3416166	SB5639
ERR3416167	SB5640
ERR3416168	SB5641
ERR3416169	SB5642
ERR3416170	SB5643
ERR3416171	SB5644
ERR3416172	SB5645
ERR3416173	SB5646
ERR3416174	SB5647
ERR3416175	SB5648
ERR3416176	SB5649
ERR3416177	SB5650
ERR3416178	SB5651
ERR3416179	SB5652
ERR3416180	SB5653
ERR3416181	SB5654
ERR3416182	SB5655
ERR3416183	SB5656
ERR3416184	SB5657
ERR3416185	SB5658
ERR3416186	SB5659
ERR3416187	SB5660
ERR3416188	SB5661
ERR3416189	SB5662
ERR3416190	SB5663
ERR3416191	SB5664
ERR3416192	SB5665
ERR3416193	SB5666
ERR3416194	SB5668
ERR3416195	SB5669
ERR3416196	SB5670
ERR3416197	SB5671
ERR3416198	SB5672
ERR3416199	SB5673
ERR3416200	SB5674
ERR3416201	SB5675
ERR3416202	SB5676
ERR3416203	SB5677
ERR3416204	SB5678
ERR3416205	SB5679
ERR3416206	SB5680
ERR3416207	SB5681
ERR3416208	SB5682
ERR3416209	SB5683
ERR3416210	SB5684
ERR3416211	SB5685
ERR3416212	SB5686
ERR3416213	SB5687
ERR3416214	SB5688
ERR3416215	SB5690
ERR3416216	SB5691
ERR3416217	SB5692
ERR3416218	SB5693
ERR3416219	SB5694
ERR3416220	SB5695
ERR3416221	SB5696
ERR3416222	SB5697
ERR3416223	SB5698
ERR3416224	SB5699
ERR3416225	SB5700
ERR3416226	SB5701
ERR3416227	SB5702
ERR3416228	SB5703
ERR3416229	SB5705
ERR3416230	SB5706
ERR3416231	SB5707
ERR3416232	SB5708
ERR3416233	SB5709
ERR3416234	SB5710
ERR3416235	SB5711
ERR3416236	SB5712
ERR3416237	SB5713
ERR3416238	SB5714
ERR3416239	SB5715
ERR3416240	SB5716
ERR3416241	SB5718
ERR3416242	SB5719
ERR3416243	SB5720
ERR3416244	SB5721
ERR3416245	SB5722
ERR3416246	SB5723
ERR3416247	SB5724
ERR3416248	SB5725
ERR3416249	SB5726
ERR3416250	SB5727
ERR3416251	SB5728
ERR3416252	SB5730
ERR3416253	SB5731
ERR3416254	SB5732
ERR3416255	SB5734
ERR3416256	SB5735
ERR3416257	SB5736
ERR3416258	SB5737
ERR3416259	SB5739
ERR3416260	SB5742
ERR3416261	SB5743
ERR3416262	SB5745
ERR3416263	SB5746
ERR3416264	SB5749
ERR3416265	SB5750
ERR3416266	SB5751
ERR3416267	SB5752
ERR3416268	SB5753
ERR3416269	SB5754
ERR3416270	SB5756
ERR3416271	SB5758
ERR3416272	SB5759
ERR3416273	SB5761
ERR3416274	SB5762
ERR3416275	SB5764
ERR3416276	SB5765
ERR3416277	SB5766
ERR3416278	SB5767
ERR3416279	SB5768
ERR3416280	SB5770
ERR3416281	SB5771
ERR3416282	SB5772
ERR3416283	SB5773
ERR3416284	SB5774
ERR3416285	SB5775
ERR3416286	SB5776
ERR3416287	SB5777
ERR3416288	SB5778
ERR3416289	SB5779
ERR3416290	SB5780
ERR3416291	SB5781
ERR3416292	SB5782
ERR3416293	SB5783
ERR3416294	SB5784
ERR3416295	SB5786
ERR3416296	SB5787
ERR3416297	SB5788
ERR3416298	SB5789
ERR3416299	SB5790
ERR3416300	SB5791
ERR3416301	SB5792
ERR3416302	SB5793
ERR3416303	SB5794
ERR3416304	SB5795
ERR3416305	SB5796
ERR3416306	SB5797
ERR3416307	SB5798
ERR3416308	SB5799
ERR3416309	SB5800
ERR3416310	SB5801
ERR3416311	SB5802
ERR3416312	SB5803
ERR3416313	SB5805
ERR3416314	SB5806
ERR3416315	SB5807
ERR3416316	SB5808
ERR3416317	SB5809
ERR3416318	SB5810
ERR3416319	SB5811
ERR3416320	SB5812
ERR3416321	SB5815
ERR3416322	SB5816
ERR3416323	SB5817
ERR3416324	SB5818
ERR3416325	SB5819
ERR3416326	SB5822
ERR3416327	SB5823
ERR3416328	SB5824
ERR3416329	SB5825
ERR3416330	SB5826
ERR3416331	SB5828
ERR3416332	SB5829
ERR3416333	SB5830
ERR3416334	SB5831
ERR3416335	SB5832
ERR3416336	SB5833
ERR3416337	SB5834
ERR3416338	SB5836
ERR3416339	SB5837
ERR3416340	SB5838
ERR3416341	SB5839
ERR3416342	SB5841
ERR3416343	SB5842
ERR3416344	SB5843
ERR3416345	SB5845
ERR3416346	SB5846
ERR3416347	SB5847
ERR3416348	SB5848
ERR3416349	SB5849
ERR3416350	SB5850
ERR3416351	SB5851
ERR3416352	SB5852
ERR3416353	SB5853
ERR3416354	SB5854
ERR3416355	SB5856
ERR3416356	SB5858
ERR3416357	SB5859
ERR3416358	SB5860
ERR3416359	SB5862
ERR3416360	SB5863
ERR3416361	SB5864
ERR3416362	SB5865
ERR3416363	SB5866
ERR3416364	SB5867
ERR3416365	SB5868
ERR3416366	SB5869
ERR3416367	SB5950
ERR3416368	SB5951
ERR3416369	SB5952
ERR3416370	SB5953
ERR3416371	SB5954
ERR3416372	SB5955
ERR3416373	SB5956
ERR3416374	SB5957
ERR3416375	SB5958
ERR3416376	SB5959
ERR3416377	SB5960
ERR3416378	SB5961
ERR3416379	SB5962
ERR3416380	SB5963
ERR3416381	SB5964
ERR3416382	SB5965
ERR3416383	SB5966
ERR3416384	SB5967
ERR3416385	SB5968
ERR3416386	SB5969
ERR3416387	SB5970
ERR3416388	SB5971
ERR3416389	SB5972
ERR3416390	SB5973
ERR3416391	SB5974
ERR3416392	SB6073
ERR3416393	SB6074
ERR3416394	SB6075
ERR3416395	SB6076
ERR3416396	SB6077
ERR3416397	SB6078
ERR3416398	SB6079
ERR3416399	SB6080
ERR3416400	SB6081
ERR3416401	SB6082
ERR3416402	SB6085
ERR3416403	SB6086
ERR3416404	SB6087
ERR3416405	SB6088
ERR3416406	SB6089
ERR3416407	SB6091
ERR3416408	SB6092
ERR3416409	SB6093
ERR3417382	SB5499
ERR3417383	SB5519
ERR276921	uk_8C29I
ERR276922	uk_17B10E
ERR276923	uk_17C5I
ERR276924	uk_17A11D
ERR276925	uk_17C24J
ERR276926	uk_18C20K
ERR276927	uk_18B10I
ERR276928	uk_19B25H
ERR276929	uk_19B20H
ERR276930	uk_18B32C
ERR276931	uk_19B33C
ERR276932	uk_18C2A
ERR276933	uk_18B24K
ERR276934	uk_18B26G
ERR276935	uk_19A31B
ERR276936	uk_18B33D
ERR276937	uk_19C11G
ERR276938	uk_19A15J
ERR276939	uk_7A35I
ERR276940	uk_7B15G
ERR276941	uk_7B22C
ERR276942	uk_8AL3
ERR276943	uk_8A23D
ERR276944	uk_8B10J
ERR276945	uk_8C25C
ERR276946	uk_17C30F
ERR276947	uk_19A13I
ERR276948	uk_19C17K
ERR276949	uk_19C25H
ERR276950	uk_19C33D
ERR276951	uk_7B1H
ERR276952	uk_8B30E
ERR276953	uk_8B35L
ERR276954	uk_8C11D
ERR276955	uk_17A9K
ERR276956	uk_17A18I
ERR276957	uk_17B14C
ERR276958	uk_17CA5
ERR276959	uk_17C22I
ERR276960	uk_18A3B
ERR276961	uk_18A5D
ERR276962	uk_18A11I
ERR276963	uk_18A34K
ERR276964	uk_18B24A
ERR276965	uk_19C8D
ERR276966	uk_19C21C
ERR276967	uk_5A33J
ERR276968	uk_8B22L
ERR276969	uk_7C5G
ERR276970	uk_8C2G
ERR276971	uk_8A21B
ERR276972	uk_7C10A
ERR276973	uk_8B14D
ERR276974	uk_7B15I
ERR276975	uk_8A25G
ERR276976	uk_7C2E
ERR276977	uk_8C13H
ERR276978	uk_8C1H
ERR276979	uk_7C30L
ERR276980	uk_7A18A
ERR276981	uk_7C30H
ERR276982	uk_17A6I
ERR276983	uk_8C20F
ERR276984	uk_17B16A
ERR276985	uk_17A1L
ERR276986	uk_18B9E
ERR276987	uk_17C32H
ERR276988	uk_17B15D
ERR276989	uk_18B12I
